Asset,Confirmations
1INCH,20
AAVE,20
ADA,15
ALGO,10
ANKR,20
ANT,20
ATOM,0
AXS,20
BADGER,20
BAL,20
BAND,20
BAT,20
BCH,15
BNT,20
BTC,4
CHZ,20
COMP,20
CQT ,20
CRV,20
CTSI,20
DAI,20
DASH,2
DOGE,40
DOT,25
ENJ,20
EOS,0
ETC,"40,000"
ETH,20
EWT,21
FIL,200
FLOW,30
GHST,20
GNO,20
GRT,20
ICX,3
INJ,20
KAR,25
KAVA,0
KEEP,20
KNC,20
KSM,25
LINK,20
LPT,20
LRC,20
LSK,303
LTC,12
MANA,20
MINA,15
MIR,20
MKR,20
MLN,20
MOVR,25
NANO,0
OCEAN,20
OGN,20
OMG,20
OXT,20
PAXG,20
PERP,20
Polygon,20
QTUM,100
RARI,20
REN,20
REP,20
REPV2,20
SAND,20
SC,6
SDN,25
SNX,20
SOL,0
SRM,0
STORJ,20
SUSHI,20
TBTC,20
TRX,20
UNI,20
USDC,20
USDT (ERC20(,20
USDT (OMNI),4
USDT (TRC20),20
WAVES,10
WBTC,20
XLM,0
XMR,15
XRP,0
XTZ,20
YFI,20
ZEC,24
ZRX,20
